japanese_display_name,video_url,japanese_names,english_names
Newaza,,Ne Waza,Ground Techniques
O Goshi,https://www.youtube.com/watch?v=Mwz5At87OxE,O Goshi,"Hip Throw,Major Hip Throw"
O Guruma,https://www.youtube.com/watch?v=ujxkj6EJSb0,O Guruma,Major Wheel
O Soto Guruma,https://www.youtube.com/watch?v=CdjR9VyQaL0,O Soto Guruma,Major Outer Wheel
Obi Otoshi,https://www.youtube.com/watch?v=3dGTN6sGbmk,Obi Otoshi,Belt Drop
Obi Tori Gaeshi,https://www.youtube.com/watch?v=m8Fe_4U5dP8,Obi Tori Gaeshi,Belt Grab Counter
Okuri Ashi Harai,https://www.youtube.com/watch?v=2WHtL7Rzwfs,Okuri Ashi Barai,Following Foot Sweep
Okuri Eri Jime,https://www.youtube.com/watch?v=mBRtKyMm6v0,Okuri Eri Jime,Sliding Collar Strangle
Okuriashi Harai,https://www.youtube.com/watch?v=2WHtL7Rzwfs,Okuriashi Harai,Following Foot Sweep
Osaekomi Waza,https://youtu.be/guJ-HlAKEA8,Osaekomi Waza,Pin/Hold Down Techniques
Osoto Gaeshi,https://www.youtube.com/watch?v=FVHAn45Gd6w,O Soto Gaeshi,Foot Technique
Osoto Gari,https://www.youtube.com/watch?v=93YEMueeF24,O Soto Gari,Major Outer Reaping
Osoto Makikomi,https://www.youtube.com/watch?v=-CZO8Mj5cA8,Osoto Makikomi,Major Outer Wrap Around
Osoto Otoshi,https://www.youtube.com/watch?v=CYH7zR_yqq4,O Soto Otoshi,Major Outer Drop
Ouchi Gaeshi,https://www.youtube.com/watch?v=V5jQkLDww7g,O Uchi Gaeshi,Foot Technique
Ouchi Gari,https://www.youtube.com/watch?v=A6-lTECSR3c,O Uchi Gari,Major Inner Reap
Reverse Seoi Nage,https://www.youtube.com/watch?v=7ubS5Ktg4zk,Reverse Seoi Nage,"Korean Seoi Nage,Reverse Shoulder Throw"
Ryo Te Jime,https://www.youtube.com/watch?v=EmsHq0ySB20,Ryo Te Jime,Two-Hands Strangle
Sankaku Jime,https://www.youtube.com/watch?v=dh0QSmL0pEY,Sankaku Jime,"Triangle Choke,Triangular Strangle"
Sasae Tsurikomi Ashi,https://www.youtube.com/watch?v=MiGljHOokvE,"Sasae Tsurikomi Ashi,Sasae",Lifting pulling Ankle Block
Seoi Nage,https://www.youtube.com/watch?v=_-5Un6jLtRY,Seoi Nage,Shoulder Throw
Seoi Otoshi,https://www.youtube.com/watch?v=ne3i9DoBQU0,Seoi Otoshi,Shoulder Drop
Shime Waza,https://youtu.be/bq3cwrcS1-c,Shime Waza,Choke/Strangle Techniques
Sode Guruma Jime,https://www.youtube.com/watch?v=-POmmN9jlY4,Sode Guruma Jime,"Ezequiel Choke,Sleeve wheel Strangle"
Sode Tsurikomi Goshi,https://www.youtube.com/watch?v=KyLgGFs-tEk,Sode Tsurikomi Goshi,Sleeve Lifting Pulling Hip
